Aba | ♂ | Török eredetű régi magyar személynév | apa | „rendkívül ritka” → „nagyon ritka”
Benignusz | ♂ | Latin eredetű név | jóságos ; kegyes ; jóakaró | „néhány előfordulás” → „néhány előfordulás”
Benitó | ♂ | Benedek ‣ olasz és spanyol alakváltozata . | áldott | „néhány előfordulás” → „nagyon ritka”
Benjamin | ♂ | Benjámin ‣ alakváltozata | szerencse fia ; ( Más magyarázat szerint : a jobbnak a fia .) | „elég ritka” → „közepesen gyakori”
Benjámin | ♂ | Héber eredetű bibliai név | szerencse fia ; ( Más magyarázat szerint : a jobbnak a fia .) | „közepesen gyakori” → „közepesen gyakori”
Benke | ♂ | A Benedek ‣ és a Benjámin ‣ régi becézőjéből önállósult | | „néhány előfordulás” → „rendkívül ritka”
Benkő | ♂ | A Benedek ‣ és a Benjámin ‣ régi becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Bennó | ♂ | A németben a Bernhard ( magyarul : Bernát ‣ ) és ritkábban a Benedict , Benjamin ‣ név önállósult rövidülése | | „néhány előfordulás” → „rendkívül ritka”
Benő | ♂ | A Benedek ‣ és a Benjámin ‣ név - ő kicsinyítőképzős rövidülése | | „elég ritka” → „néhány előfordulás”
Benvenútó | ♂ | Olasz eredetű | jól jött , azaz szerencsésen ( meg)született | „néhány előfordulás” → „néhány előfordulás”
Berárd | ♂ | Bernárd ‣ francia alakváltozata | medve + erős | „néhány előfordulás” → „rendkívül ritka”
Bérc | ♂ | Bizonytalan eredetű régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bercel | ♂ | Bizonytalan eredetű régi magyar név | | „nagyon ritka” → „elég ritka”
Bere | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Berec | ♂ | A latin Brictius névből származó régi magyar személynév | magas ; magaslat | „néhány előfordulás” → „néhány előfordulás”
Berend | ♂ | Régi magyar személynév | aki megadta magát | „néhány előfordulás” → „néhány előfordulás”
Berengár | ♂ | Germán eredetű név | medve + lándzsa | „néhány előfordulás” → „néhány előfordulás”
Berény | ♂ | Régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Beriszló | ♂ | Szláv eredetű régi magyar személynév | gyarapodik ; ( meg)nő + dicsőség | „néhány előfordulás” → „néhány előfordulás”
Berke | ♂ | Bizonytalan eredetű régi magyar személynév | | „néhány előfordulás” → „nagyon ritka”
Bernárd | ♂ | A germán Bernhard ( magyarul : Bernát ‣ ) névből való | medve + erős | „rendkívül ritka” → „nagyon ritka”
Bernát | ♂ | A germán Bernhard név magyar formája | medve + erős | „elég ritka” → „elég ritka”
Bertalan | ♂ | Arameus eredetű bibliai név | Tolmai fia | „közepesen gyakori” → „közepesen gyakori”
Bertin | ♂ | Az óangol Bert alakváltozata | előkelő ; kiváló | „néhány előfordulás” → „nagyon ritka”
Bertold | ♂ | Germán eredetű név | fényes ; híres + uralkodó ; tevékeny | „elég ritka” → „elég ritka”
Berton | ♂ | Angol eredetű | fényes vároból való | „néhány előfordulás” → „néhány előfordulás”
Bertram | ♂ | Germán eredetű név | fényes ; híres + holló | „rendkívül ritka” → „néhány előfordulás”
Berzsián | ♂ | Irodalmi névalkotás . Lázár ‣ Ervin ‣ meséjében | | „néhány előfordulás” → „nagyon ritka”
Bese | ♂ | Török eredetű régi magyar név | kánya ( vagy karvaly ) | „rendkívül ritka” → „nagyon ritka”
Beten | ♂ | Ismeretlen eredetű régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Betlen | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bihar | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Boáz | ♂ | Héber eredetű bibliai név | erő van benne ; erős | „néhány előfordulás” → „rendkívül ritka”
Bocsárd | ♂ | Bizonytalan eredetű régi magyar személynév | kádár ; pohárnok ; védelem + erős ; merész | „néhány előfordulás” → „néhány előfordulás”
Bod | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bodó | ♂ | Régi magyar személynév | parancsoló ; úr | „néhány előfordulás” → „néhány előfordulás”
Bódog | ♂ | Régi magyar személynév | gazdag | „rendkívül ritka” → „néhány előfordulás”
Bodomér | ♂ | Régi magyar személynév | lenni + béke | „néhány előfordulás” → „néhány előfordulás”
Bodony | ♂ | Régi magyar személynév | lakosság ; alattvalók ; nép | „néhány előfordulás” → „rendkívül ritka”
Bodor | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bogát | ♂ | Szláv eredetű régi magyar személynév | gazdag | „néhány előfordulás” → „nagyon ritka”
Bogdán | ♂ | Szláv eredetű név | Isten + ajándék | „nagyon ritka” → „nagyon ritka”
Bogumil | ♂ | Szláv eredetű név | Isten + kedves | „néhány előfordulás” → „néhány előfordulás”
Bohumil | ♂ | Szláv eredetű név | Istennek kedves | „néhány előfordulás” → „néhány előfordulás”
Bohus | ♂ | Szlovák eredetű név | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Boján | ♂ | Szláv eredetű név | félelmetes | „néhány előfordulás” → „nagyon ritka”
Bojta | ♂ | Régi magyar személynév | gazdag ; bő | „rendkívül ritka” → „nagyon ritka”
Bojtor | ♂ | Régi magyar személynév | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Bojtorján | ♂ | Újabb keletű névalkotás a hasonló közszóból | | „néhány előfordulás” → „néhány előfordulás”
Boldizsár | ♂ | A Baltazár ‣ név magyar alakváltozata | | „elég ritka” → „közepesen gyakori”
Boleszláv | ♂ | Szláv eredetű név | több + dicsőség | „néhány előfordulás” → „néhány előfordulás”
Bolivár | ♂ | A dél-amerikai függetlenségi háború katonai és politikai vezetőjének , Simon ‣ Bolivarnak ( 1783-1830 ) a családnevéből származik | | „néhány előfordulás” → „rendkívül ritka”
Bolyk | ♂ | Régi magyar személynév | ismeretlen | „néhány előfordulás” → „nagyon ritka”
Bonaventúra | ♂ | Latin eredetű név | jó jövendő | „néhány előfordulás” → „néhány előfordulás”
Bonca | ♂ | Régi Bonc személynév - a képzős változata . | | „néhány előfordulás” → „nagyon ritka”
Bongor | ♂ | Régi magyar személynév | ? gyümölcsös ; bozótos | „néhány előfordulás” → „rendkívül ritka”
Bonifác | ♂ | A latin Bonifatius névből származik | jó sorsot ígérő | „nagyon ritka” → „nagyon ritka”
Bónis | ♂ | A Bonifác ‣ név régi magyar becézőjéből önállósult | | „néhány előfordulás” → „néhány előfordulás”
Borbás | ♂ | A Barabás ‣ név régi magyar alakváltozata | apa fia | „néhány előfordulás” → „néhány előfordulás”
Borisz | ♂ | Szláv ( orosz , bolgár ) eredetű név | harcos | „nagyon ritka” → „elég ritka”
Borocs | ♂ | -- | | „néhány előfordulás” → „néhány előfordulás”
Boromir | ♂ | Szláv eredetű név | harc + béke | „néhány előfordulás” → „néhány előfordulás”
Boroszló | ♂ | Szláv eredetű név | | „néhány előfordulás” → „néhány előfordulás”
Bors | ♂ | A bors szóval azonos eredetű régi magyar személynév | | „néhány előfordulás” → „rendkívül ritka”
Borsa | ♂ | A Bors ‣ régi magyar személynév származéka | | „rendkívül ritka” → „nagyon ritka”
Botár | ♂ | Régi magyar személynév ; eredete ismeretlen | | „néhány előfordulás” → „néhány előfordulás”
Botond | ♂ | Régi magyar személynév | | „közepesen gyakori” → „rendkívül gyakori”
Botos | ♂ | ma is gyakori családnév már a 12 . században megtalálható volt egyelemű névként . | | „néhány előfordulás” → „néhány előfordulás”
Bottyán | ♂ | Régi magyar személynév | | „rendkívül ritka” → „nagyon ritka”
Bozsidár | ♂ | Szláv eredetű név | Isten + ajándék | „néhány előfordulás” → „néhány előfordulás”
Bozsó | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Bökény | ♂ | Régi magyar személynév | erdőcske | „néhány előfordulás” → „néhány előfordulás”
Böngér | ♂ | Valószínűleg kun eredetű ; régi magyar személynév | jelentése ismeretlen | „néhány előfordulás” → „néhány előfordulás”
Brájen | ♂ | Angol és ír eredetű | erő | „nagyon ritka” → „elég ritka”
Brendon | ♂ | Angol helynévi eredetű név | rekettye + hegy ; domb | „elég ritka” → „közepesen gyakori”
Brett | ♂ | Angol eredetű | breton betelpült | „néhány előfordulás” → „rendkívül ritka”
Brúnó | ♂ | Germán eredetű német névből származik | barna | „elég ritka” → „elég ritka”
Brútusz | ♂ | Eredetileg egy római család latin közszóból származó mellékneve | nehézkes ; esetlen ; együgyű | „néhány előfordulás” → „néhány előfordulás”
Buda | ♂ | Régi magyar személynév | lenni + béke | „nagyon ritka” → „nagyon ritka”
Bulcsú | ♂ | Ismeretlen eredetű régi magyar személynév | | „elég ritka” → „elég ritka”
Burak | ♂ | arab eredetű , de főleg a török férfinevek között használatos | villám | „néhány előfordulás” → „néhány előfordulás”
Buzád | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Buzát | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Cecilián | ♂ | A latin Caecilianus név rövidülése | a ( római ) Caecilius nemzetséghez tartozó ( férfi ) | „néhány előfordulás” → „néhány előfordulás”
Celesztin | ♂ | Latin eredetű név | mennyei ; égi | „néhány előfordulás” → „néhány előfordulás”
Cézár | ♂ | A római Caesar családnévből származik | ? hosszú , dús hajú ; metszett ; vágott | „néhány előfordulás” → „néhány előfordulás”
Ciceró | ♂ | Római családnévből ered | ? borsó | „néhány előfordulás” → „néhány előfordulás”
Ciprián | ♂ | Latin eredetű név | ciprusi | „nagyon ritka” → „nagyon ritka”
Cirill | ♂ | A görög Kürillosz név latin Cyrillus változatának rövidülése | az Úrhoz tartozó ; Istennek szentelt | „néhány előfordulás” → „néhány előfordulás”
Cirják | ♂ | A görög Küriakosz név latin Cyriacus formájának rövidülése | az uralkodóhoz tartozó ; úri | „néhány előfordulás” → „néhány előfordulás”
Cirjék | ♂ | A Cirják ‣ név magyar alakváltozata | | „néhány előfordulás” → „néhány előfordulás”
Círus | ♂ | A magyar változat a perzsa eredetű görög Kürosz név latin Cyrus formájából származik | uralkodó ; Nap | „néhány előfordulás” → „néhány előfordulás”
Csaba | ♂ | Régi magyar személynév | ajándék | „rendkívül gyakori” → „nagyon gyakori”
Csák | ♂ | Régi magyar személynév | ütő | „néhány előfordulás” → „néhány előfordulás”
Csanád | ♂ | Régi magyar személynév | | „elég ritka” → „közepesen gyakori”
Csát | ♂ | Régi magyar személynév | összekacsolt ; összekötött | „néhány előfordulás” → „néhány előfordulás”
Csatád | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Csatár | ♂ | Bizonytalan eredetű régi magyar személynév | pajzsgyártó | „néhány előfordulás” → „néhány előfordulás”
Csató | ♂ | Régi magyar személynév | | „néhány előfordulás” → „néhány előfordulás”
Csege | ♂ | Régi magyar személynév | cövek ; szeg | „rendkívül ritka” → „nagyon ritka”
Csegő | ♂ | Régi magyar személynév | | „rendkívül ritka” → „rendkívül ritka”
Csejte | ♂ | Bizonytalan eredetű régi magyar személynév | ismeretlen | „néhány előfordulás” → „néhány előfordulás”
